Proteins	Shift
EHD1_HUMAN	right shift
HMOX2_HUMAN	right shift
GRAP1_HUMAN	right shift
GPX2_HUMAN	right shift
MAGT1_HUMAN	right shift
CTBL1_HUMAN	right shift
GPX1_HUMAN	right shift
BASI_HUMAN	right shift
C1TM_HUMAN	right shift
FAT1_HUMAN	right shift
SHLB1_HUMAN	right shift
ABCB7_HUMAN	right shift
RBM15_HUMAN	right shift
VTA1_HUMAN	right shift
IDH3B_HUMAN	right shift
SMAG2_HUMAN	right shift
BCL9L_HUMAN	right shift
HYOU1_HUMAN	right shift
NADAP_HUMAN	right shift
JIP4_HUMAN	right shift
WDR18_HUMAN	right shift
PVR_HUMAN	right shift
FRPD3_HUMAN	right shift
AK1C3_HUMAN	right shift
ADRO_HUMAN	right shift
PP1R8_HUMAN	right shift
WDR36_HUMAN	right shift
ACBP_HUMAN	right shift
PWP2_HUMAN	right shift
RSSA_HUMAN	right shift
VAS1_HUMAN	right shift
UBE3A_HUMAN	right shift
RBM8A_HUMAN	right shift
DNJB6_HUMAN	right shift
PON2_HUMAN	right shift
MY15B_HUMAN	right shift
CENPV_HUMAN	right shift
SH319_HUMAN	right shift
SCYL2_HUMAN	right shift
FTO_HUMAN	right shift
RFIP5_HUMAN	right shift
ASAH1_HUMAN	right shift
PAXI_HUMAN	right shift
CATD_HUMAN	right shift
GPT_HUMAN	right shift
PHLB2_HUMAN	right shift
RTTN_HUMAN	right shift
MED17_HUMAN	right shift
SERA_HUMAN	right shift
SPAST_HUMAN	right shift
EPS8_HUMAN	right shift
CTNB1_HUMAN	right shift
ATX2_HUMAN	right shift
TBCE_HUMAN	right shift
RADI_HUMAN	right shift
RNH2A_HUMAN	right shift
SUCB1_HUMAN	right shift
DHB4_HUMAN	right shift
GSH1_HUMAN	right shift
C1TC_HUMAN	right shift
PYRG1_HUMAN	right shift
HEM3_HUMAN	right shift
SSRA_HUMAN	right shift
COPA_HUMAN	right shift
NOP9_HUMAN	right shift
DCPS_HUMAN	right shift
RL29_HUMAN	right shift
EMAL1_HUMAN	right shift
NH2L1_HUMAN	right shift
EI2BE_HUMAN	right shift
RRP5_HUMAN	right shift
DCUP_HUMAN	right shift
NOP56_HUMAN	right shift
GTF2I_HUMAN	right shift
CYB5B_HUMAN	right shift
PPCE_HUMAN	right shift
SHOT1_HUMAN	right shift
ACON_HUMAN	right shift
RBM34_HUMAN	right shift
EXOS2_HUMAN	right shift
CNOT1_HUMAN	right shift
PGP_HUMAN	right shift
TSN14_HUMAN	right shift
NUDT5_HUMAN	right shift
YIF1A_HUMAN	right shift
AMPB_HUMAN	right shift
PTBP1_HUMAN	right shift
TP53B_HUMAN	right shift
AFAD_HUMAN	right shift
RTN1_HUMAN	right shift
GSTP1_HUMAN	right shift
EIF3L_HUMAN	right shift
CC117_HUMAN	right shift
CPNE1_HUMAN	right shift
CAPZB_HUMAN	right shift
PKN2_HUMAN	right shift
PRPS1_HUMAN	right shift
TMEM9_HUMAN	right shift
KS6A3_HUMAN	right shift
TRI16_HUMAN	right shift
NQO1_HUMAN	right shift
S61A1_HUMAN	right shift
TACC1_HUMAN	right shift
PESC_HUMAN	right shift
RAN_HUMAN	right shift
ERC6L_HUMAN	right shift
RL31_HUMAN	right shift
NUBP2_HUMAN	right shift
GALK2_HUMAN	right shift
SHLB2_HUMAN	right shift
SCRB1_HUMAN	right shift
SUMO1_HUMAN	right shift
T2EA_HUMAN	right shift
SORCN_HUMAN	right shift
NCOR2_HUMAN	right shift
PP1R7_HUMAN	right shift
RN181_HUMAN	right shift
RPB2_HUMAN	right shift
FIBG_HUMAN	right shift
AAMP_HUMAN	right shift
RS4Y1_HUMAN	right shift
CYC_HUMAN	right shift
PELP1_HUMAN	right shift
ACPH_HUMAN	right shift
RT34_HUMAN	right shift
F207A_HUMAN	right shift
LIMD1_HUMAN	right shift
CTND1_HUMAN	right shift
IF4G2_HUMAN	right shift
ANXA3_HUMAN	right shift
ETFD_HUMAN	right shift
ELMD2_HUMAN	right shift
HINT1_HUMAN	right shift
ELOC_HUMAN	right shift
SKP1_HUMAN	right shift
CSPP1_HUMAN	right shift
BIG1_HUMAN	right shift
ARMC1_HUMAN	right shift
KPRB_HUMAN	right shift
STAU2_HUMAN	right shift
NAA50_HUMAN	right shift
EZRI_HUMAN	right shift
PLOD2_HUMAN	right shift
MARK2_HUMAN	right shift
BZW2_HUMAN	right shift
SDA1_HUMAN	right shift
IF4B_HUMAN	right shift
NACAM_HUMAN	right shift
ODO1_HUMAN	right shift
FYV1_HUMAN	right shift
IBTK_HUMAN	right shift
NRP1_HUMAN	right shift
DLDH_HUMAN	right shift
ACSF2_HUMAN	right shift
2A5D_HUMAN	right shift
TBC23_HUMAN	right shift
CSN8_HUMAN	right shift
FCL_HUMAN	right shift
CC90B_HUMAN	right shift
PSA_HUMAN	right shift
RL27A_HUMAN	right shift
HBS1L_HUMAN	right shift
RHOC_HUMAN	right shift
UBIM_HUMAN	right shift
WDR74_HUMAN	right shift
XPO4_HUMAN	right shift
LSM8_HUMAN	right shift
PSMD9_HUMAN	right shift
MPI_HUMAN	right shift
ARSL_HUMAN	right shift
DNLI1_HUMAN	right shift
GEPH_HUMAN	right shift
ENOG_HUMAN	right shift
TS101_HUMAN	right shift
ODBA_HUMAN	right shift
XRCC1_HUMAN	right shift
GNS_HUMAN	right shift
RANG_HUMAN	right shift
DYL1_HUMAN	right shift
TISB_HUMAN	right shift
ELK3_HUMAN	right shift
COPZ1_HUMAN	right shift
COQ5_HUMAN	right shift
SPS2L_HUMAN	right shift
DDX31_HUMAN	right shift
B3GA3_HUMAN	right shift
DPP3_HUMAN	right shift
API5_HUMAN	right shift
RT4I1_HUMAN	right shift
RL18_HUMAN	right shift
ZC3HE_HUMAN	right shift
LGMN_HUMAN	right shift
SNW1_HUMAN	right shift
PTGR2_HUMAN	right shift
DDX24_HUMAN	right shift
TIM8B_HUMAN	right shift
RT27_HUMAN	right shift
HNRH1_HUMAN	right shift
DPM1_HUMAN	right shift
GOGA4_HUMAN	right shift
ZN185_HUMAN	right shift
DNPH1_HUMAN	right shift
TTC1_HUMAN	right shift
PPP5_HUMAN	right shift
CH082_HUMAN	right shift
NGDN_HUMAN	right shift
AN32A_HUMAN	right shift
SRPK1_HUMAN	right shift
PDXD1_HUMAN	right shift
SPN1_HUMAN	right shift
TELO2_HUMAN	right shift
NTF2_HUMAN	right shift
PMM2_HUMAN	right shift
DHX30_HUMAN	right shift
EBP2_HUMAN	right shift
SRPK2_HUMAN	right shift
LRWD1_HUMAN	right shift
GGYF2_HUMAN	right shift
DHX33_HUMAN	right shift
GEMI4_HUMAN	right shift
DVL2_HUMAN	right shift
MET16_HUMAN	right shift
RISC_HUMAN	right shift
ACPM_HUMAN	right shift
SUMF2_HUMAN	right shift
RL19_HUMAN	right shift
GDIR1_HUMAN	right shift
SCRN2_HUMAN	right shift
YTDC1_HUMAN	right shift
SMAD4_HUMAN	right shift
LONM_HUMAN	right shift
TM205_HUMAN	right shift
CR021_HUMAN	right shift
UBE2S_HUMAN	right shift
CDC37_HUMAN	right shift
KDSR_HUMAN	right shift
S35U4_HUMAN	right shift
ZC3H4_HUMAN	right shift
ARHG1_HUMAN	right shift
CD37_HUMAN	right shift
CIP4_HUMAN	right shift
NAPSA_HUMAN	right shift
RL18A_HUMAN	right shift
PDLI1_HUMAN	right shift
AIP_HUMAN	right shift
CLIC1_HUMAN	right shift
RPOM_HUMAN	right shift
RTCA_HUMAN	right shift
NDUA4_HUMAN	right shift
MPP10_HUMAN	right shift
PIR_HUMAN	right shift
IMA3_HUMAN	right shift
PDXK_HUMAN	right shift
ANM5_HUMAN	right shift
NHRF1_HUMAN	right shift
MGST3_HUMAN	right shift
HGS_HUMAN	right shift
MYPT1_HUMAN	right shift
S27A2_HUMAN	right shift
SCAM2_HUMAN	right shift
RT12_HUMAN	right shift
SPTC2_HUMAN	right shift
PPM1G_HUMAN	right shift
BCAT2_HUMAN	right shift
STX7_HUMAN	right shift
MRP3_HUMAN	right shift
ZZEF1_HUMAN	right shift
PRP4_HUMAN	right shift
PAPS1_HUMAN	right shift
PRPF3_HUMAN	right shift
TXNL1_HUMAN	right shift
HTRA2_HUMAN	right shift
BUB3_HUMAN	right shift
HTSF1_HUMAN	right shift
NRDC_HUMAN	right shift
CALU_HUMAN	right shift
KIF1C_HUMAN	right shift
AK1BA_HUMAN	right shift
PLIN3_HUMAN	right shift
UGDH_HUMAN	right shift
TOM1_HUMAN	right shift
CUTA_HUMAN	right shift
WDR1_HUMAN	right shift
CPNE3_HUMAN	right shift
COQ9_HUMAN	right shift
PDCD6_HUMAN	right shift
SC22B_HUMAN	right shift
MPPB_HUMAN	right shift
SAP30_HUMAN	right shift
SRS10_HUMAN	right shift
TIPRL_HUMAN	right shift
SURF6_HUMAN	right shift
CMC1_HUMAN	right shift
CBR3_HUMAN	right shift
IDHC_HUMAN	right shift
SCO1_HUMAN	right shift
DHRS3_HUMAN	right shift
DNJC8_HUMAN	right shift
HEXI1_HUMAN	right shift
NDUB8_HUMAN	right shift
AHSA1_HUMAN	right shift
NSA2_HUMAN	right shift
ACSL3_HUMAN	right shift
STABP_HUMAN	right shift
SNP29_HUMAN	right shift
OXSR1_HUMAN	right shift
AIFM1_HUMAN	right shift
TXD12_HUMAN	right shift
AGR2_HUMAN	right shift
NDUBA_HUMAN	right shift
ACL6A_HUMAN	right shift
DHE3_HUMAN	right shift
GSHR_HUMAN	right shift
SODC_HUMAN	right shift
PNPH_HUMAN	right shift
HPRT_HUMAN	right shift
AATM_HUMAN	right shift
PGK1_HUMAN	right shift
RASN_HUMAN	right shift
CYTB_HUMAN	right shift
ANXA1_HUMAN	right shift
SODM_HUMAN	right shift
OAT_HUMAN	right shift
HSPB1_HUMAN	right shift
RPN2_HUMAN	right shift
AT1A1_HUMAN	right shift
K1C18_HUMAN	right shift
ENOA_HUMAN	right shift
NPM_HUMAN	right shift
TBB5_HUMAN	right shift
PROF1_HUMAN	right shift
APT_HUMAN	right shift
CATB_HUMAN	right shift
ANXA6_HUMAN	right shift
HS90B_HUMAN	right shift
MET_HUMAN	right shift
VIME_HUMAN	right shift
ANXA5_HUMAN	right shift
THIK_HUMAN	right shift
LEG1_HUMAN	right shift
ANXA4_HUMAN	right shift
UCHL1_HUMAN	right shift
LKHA4_HUMAN	right shift
LYAG_HUMAN	right shift
KAP0_HUMAN	right shift
ESTD_HUMAN	right shift
CH60_HUMAN	right shift
BIP_HUMAN	right shift
UMPS_HUMAN	right shift
LAMP1_HUMAN	right shift
G6PD_HUMAN	right shift
PRPS2_HUMAN	right shift
PABP1_HUMAN	right shift
PCNA_HUMAN	right shift
SRC_HUMAN	right shift
RNH1_HUMAN	right shift
EF2_HUMAN	right shift
PDIA4_HUMAN	right shift
PLST_HUMAN	right shift
ETFA_HUMAN	right shift
KAP2_HUMAN	right shift
MTDC_HUMAN	right shift
FPPS_HUMAN	right shift
AK1A1_HUMAN	right shift
PLAK_HUMAN	right shift
B4GT1_HUMAN	right shift
CBR1_HUMAN	right shift
BGAL_HUMAN	right shift
AT2A2_HUMAN	right shift
STMN1_HUMAN	right shift
AATC_HUMAN	right shift
KPCA_HUMAN	right shift
LEG3_HUMAN	right shift
RL35A_HUMAN	right shift
RL7_HUMAN	right shift
PGAM1_HUMAN	right shift
SDC1_HUMAN	right shift
HXK1_HUMAN	right shift
SPEE_HUMAN	right shift
AT2B1_HUMAN	right shift
ANXA7_HUMAN	right shift
RAB3A_HUMAN	right shift
5NTD_HUMAN	right shift
VDAC1_HUMAN	right shift
COMT_HUMAN	right shift
TGM2_HUMAN	right shift
MUTA_HUMAN	right shift
CTDS2_HUMAN	right shift
QCR2_HUMAN	right shift
HEMH_HUMAN	right shift
PPIB_HUMAN	right shift
SYWC_HUMAN	right shift
RIR1_HUMAN	right shift
THTM_HUMAN	right shift
DNJB1_HUMAN	right shift
ATPA_HUMAN	right shift
MOES_HUMAN	right shift
RL13_HUMAN	right shift
S10A4_HUMAN	right shift
PON1_HUMAN	right shift
ANX13_HUMAN	right shift
1433T_HUMAN	right shift
CALR_HUMAN	right shift
MK01_HUMAN	right shift
ERP29_HUMAN	right shift
PRDX6_HUMAN	right shift
BLVRB_HUMAN	right shift
PRDX5_HUMAN	right shift
PRDX3_HUMAN	right shift
PEBP1_HUMAN	right shift
PDIA3_HUMAN	right shift
PPIF_HUMAN	right shift
PURA2_HUMAN	right shift
AMRP_HUMAN	right shift
CLIP1_HUMAN	right shift
AL3A1_HUMAN	right shift
GDIA_HUMAN	right shift
AKT2_HUMAN	right shift
HNRH3_HUMAN	right shift
1433B_HUMAN	right shift
S10AB_HUMAN	right shift
CSTF2_HUMAN	right shift
DUT_HUMAN	right shift
CTNA1_HUMAN	right shift
RFC2_HUMAN	right shift
SPRE_HUMAN	right shift
GLRX1_HUMAN	right shift
K22E_HUMAN	right shift
HEM6_HUMAN	right shift
RL4_HUMAN	right shift
ODO2_HUMAN	right shift
TAGL2_HUMAN	right shift
TALDO_HUMAN	right shift
ETFB_HUMAN	right shift
GRP75_HUMAN	right shift
IF4A3_HUMAN	right shift
RL3_HUMAN	right shift
FEN1_HUMAN	right shift
CAPG_HUMAN	right shift
NNMT_HUMAN	right shift
MDHC_HUMAN	right shift
MDHM_HUMAN	right shift
CSK_HUMAN	right shift
GARS_HUMAN	right shift
CDN2C_HUMAN	right shift
CACP_HUMAN	right shift
NAMPT_HUMAN	right shift
EFTS_HUMAN	right shift
ACDSB_HUMAN	right shift
UBP5_HUMAN	right shift
RL21_HUMAN	right shift
RL28_HUMAN	right shift
MAP1B_HUMAN	right shift
PA24A_HUMAN	right shift
CAZA2_HUMAN	right shift
GSH0_HUMAN	right shift
RL34_HUMAN	right shift
LMAN1_HUMAN	right shift
NASP_HUMAN	right shift
EFTU_HUMAN	right shift
PPM1F_HUMAN	right shift
SPS1_HUMAN	right shift
GUAA_HUMAN	right shift
IDH3A_HUMAN	right shift
GDIB_HUMAN	right shift
VASP_HUMAN	right shift
KNTC1_HUMAN	right shift
RL14_HUMAN	right shift
TCPQ_HUMAN	right shift
ANX11_HUMAN	right shift
FXR1_HUMAN	right shift
RAB5C_HUMAN	right shift
RAB7A_HUMAN	right shift
RAB13_HUMAN	right shift
DLGP3_HUMAN	right shift
GALK1_HUMAN	right shift
HCFC1_HUMAN	right shift
AL3A2_HUMAN	right shift
AK1D1_HUMAN	right shift
HDGF_HUMAN	right shift
HNRPF_HUMAN	right shift
SPSY_HUMAN	right shift
THOP1_HUMAN	right shift
AK1C2_HUMAN	right shift
CAZA1_HUMAN	right shift
ARFP1_HUMAN	right shift
SUCA_HUMAN	right shift
CATC_HUMAN	right shift
SC24C_HUMAN	right shift
TCP4_HUMAN	right shift
RD23B_HUMAN	right shift
IF5_HUMAN	right shift
TPD52_HUMAN	right shift
HNRH2_HUMAN	right shift
BID_HUMAN	right shift
CTBP2_HUMAN	right shift
WDR4_HUMAN	right shift
NU107_HUMAN	right shift
TPIS_HUMAN	right shift
IF4A1_HUMAN	right shift
CDC42_HUMAN	right shift
RAB10_HUMAN	right shift
RAP1B_HUMAN	right shift
RL15_HUMAN	right shift
RL27_HUMAN	right shift
PHS_HUMAN	right shift
RHOA_HUMAN	right shift
HNRPK_HUMAN	right shift
1433G_HUMAN	right shift
PP1B_HUMAN	right shift
RS8_HUMAN	right shift
UB2G1_HUMAN	right shift
1433E_HUMAN	right shift
RS23_HUMAN	right shift
RS13_HUMAN	right shift
LSM6_HUMAN	right shift
RL7A_HUMAN	right shift
RB11A_HUMAN	right shift
ERF1_HUMAN	right shift
RS6_HUMAN	right shift
RAB1A_HUMAN	right shift
RL8_HUMAN	right shift
TRA2B_HUMAN	right shift
RAC1_HUMAN	right shift
GNAS3_HUMAN	right shift
1433Z_HUMAN	right shift
RS21_HUMAN	right shift
RACK1_HUMAN	right shift
UB2L3_HUMAN	right shift
TBA1B_HUMAN	right shift
TBA4A_HUMAN	right shift
PA1B2_HUMAN	right shift
PRKDC_HUMAN	right shift
NTH_HUMAN	right shift
RT10_HUMAN	right shift
RT05_HUMAN	right shift
RT11_HUMAN	right shift
RT21_HUMAN	right shift
ERH_HUMAN	right shift
PIPNA_HUMAN	right shift
REEP5_HUMAN	right shift
TIAR_HUMAN	right shift
OCRL_HUMAN	right shift
MMSA_HUMAN	right shift
FKBP4_HUMAN	right shift
NUCB1_HUMAN	right shift
TOP2B_HUMAN	right shift
AKA12_HUMAN	right shift
TNAP2_HUMAN	right shift
CEBPZ_HUMAN	right shift
GLGB_HUMAN	right shift
LGUL_HUMAN	right shift
AK1C1_HUMAN	right shift
SSBP_HUMAN	right shift
1433F_HUMAN	right shift
PTN11_HUMAN	right shift
PRDX1_HUMAN	right shift
B2CL1_HUMAN	right shift
LRP1_HUMAN	right shift
HDHD1_HUMAN	right shift
CAMP2_HUMAN	right shift
AHNK_HUMAN	right shift
MPPA_HUMAN	right shift
TBL3_HUMAN	right shift
AKP13_HUMAN	right shift
SF3A3_HUMAN	right shift
LMAN2_HUMAN	right shift
TRAP1_HUMAN	right shift
PAK2_HUMAN	right shift
CBX3_HUMAN	right shift
DNJC3_HUMAN	right shift
SRSF5_HUMAN	right shift
MD2L1_HUMAN	right shift
TIF1B_HUMAN	right shift
G3BP1_HUMAN	right shift
PICAL_HUMAN	right shift
SQSTM_HUMAN	right shift
MTX1_HUMAN	right shift
TBB3_HUMAN	right shift
PRP4B_HUMAN	right shift
TRA2A_HUMAN	right shift
THOC5_HUMAN	right shift
CKAP5_HUMAN	right shift
DSG2_HUMAN	right shift
BOP1_HUMAN	right shift
UBP2L_HUMAN	right shift
GALE_HUMAN	right shift
CASL_HUMAN	right shift
KPRA_HUMAN	right shift
RRP1B_HUMAN	right shift
UBP10_HUMAN	right shift
MVP_HUMAN	right shift
LASP1_HUMAN	right shift
PTGR1_HUMAN	right shift
NUMA1_HUMAN	right shift
EXOS7_HUMAN	right shift
RRS1_HUMAN	right shift
PDIA6_HUMAN	right shift
PA1B3_HUMAN	right shift
2A5A_HUMAN	right shift
IPYR_HUMAN	right shift
TEBP_HUMAN	right shift
RCN1_HUMAN	right shift
TMED2_HUMAN	right shift
PUM3_HUMAN	right shift
MARE2_HUMAN	right shift
NHRF2_HUMAN	right shift
STF1_HUMAN	right shift
MARE1_HUMAN	right shift
MYLK_HUMAN	right shift
UB2V2_HUMAN	right shift
ZYX_HUMAN	right shift
2A5E_HUMAN	right shift
THTR_HUMAN	right shift
PCKGM_HUMAN	right shift
IAH1_HUMAN	right shift
QRIC1_HUMAN	right shift
HKDC1_HUMAN	right shift
TRM5_HUMAN	right shift
LSM12_HUMAN	right shift
GLYR1_HUMAN	right shift
ACSF3_HUMAN	right shift
ANO6_HUMAN	right shift
GPAT3_HUMAN	right shift
QORX_HUMAN	right shift
DHB12_HUMAN	right shift
LACB2_HUMAN	right shift
H1BP3_HUMAN	right shift
MOV10_HUMAN	right shift
WDR44_HUMAN	right shift
RALY_HUMAN	right shift
NOL9_HUMAN	right shift
FBP1L_HUMAN	right shift
FKB15_HUMAN	right shift
UBR4_HUMAN	right shift
QSPP_HUMAN	right shift
NT5D1_HUMAN	right shift
BROX_HUMAN	right shift
SPRY7_HUMAN	right shift
NA	NA
SMYD5_HUMAN	right shift
PTRD1_HUMAN	right shift
HIBCH_HUMAN	right shift
NEPRO_HUMAN	right shift
DHX57_HUMAN	right shift
FAHD1_HUMAN	right shift
AAGAB_HUMAN	right shift
CC137_HUMAN	right shift
CPLX2_HUMAN	right shift
TM1L2_HUMAN	right shift
BZW1_HUMAN	right shift
RSRC2_HUMAN	right shift
NDUF7_HUMAN	right shift
GET4_HUMAN	right shift
TRM1L_HUMAN	right shift
MAVS_HUMAN	right shift
HDDC2_HUMAN	right shift
I2BP2_HUMAN	right shift
HUWE1_HUMAN	right shift
ACOT1_HUMAN	right shift
DDX42_HUMAN	right shift
I2BP1_HUMAN	right shift
PLD3_HUMAN	right shift
AHNK2_HUMAN	right shift
MISP_HUMAN	right shift
GCC2_HUMAN	right shift
SCUB1_HUMAN	right shift
SPB1_HUMAN	right shift
EXOC8_HUMAN	right shift
THNS1_HUMAN	right shift
RUSD2_HUMAN	right shift
CLYBL_HUMAN	right shift
LRC47_HUMAN	right shift
SRBD1_HUMAN	right shift
CISD2_HUMAN	right shift
JAGN1_HUMAN	right shift
DDX51_HUMAN	right shift
MLKL_HUMAN	right shift
AFG2H_HUMAN	right shift
RDH13_HUMAN	right shift
TXND5_HUMAN	right shift
LEMD2_HUMAN	right shift
NNRE_HUMAN	right shift
LS14A_HUMAN	right shift
APLP2_HUMAN	right shift
ABHDB_HUMAN	right shift
MCFD2_HUMAN	right shift
NPL4_HUMAN	right shift
PI42C_HUMAN	right shift
DDX54_HUMAN	right shift
BRX1_HUMAN	right shift
SETD7_HUMAN	right shift
NOC3L_HUMAN	right shift
TF3C2_HUMAN	right shift
TM263_HUMAN	right shift
NU133_HUMAN	right shift
CATIN_HUMAN	right shift
UBCP1_HUMAN	right shift
ATX2L_HUMAN	right shift
DNJC9_HUMAN	right shift
IRGQ_HUMAN	right shift
DDB2_HUMAN	right shift
AN32B_HUMAN	right shift
NECT2_HUMAN	right shift
SYMPK_HUMAN	right shift
GGH_HUMAN	right shift
OSTF1_HUMAN	right shift
UFD1_HUMAN	right shift
FUBP2_HUMAN	right shift
NEP1_HUMAN	right shift
LPP_HUMAN	right shift
KPBB_HUMAN	right shift
RL36L_HUMAN	right shift
RRF2M_HUMAN	right shift
FAKD4_HUMAN	right shift
CHP3_HUMAN	right shift
SEH1_HUMAN	right shift
CPNE2_HUMAN	right shift
VMP1_HUMAN	right shift
FA89A_HUMAN	right shift
PDLI5_HUMAN	right shift
SUCB2_HUMAN	right shift
CNDP2_HUMAN	right shift
NSD1_HUMAN	right shift
EP400_HUMAN	right shift
PRRC1_HUMAN	right shift
NSUN5_HUMAN	right shift
TRNT1_HUMAN	right shift
PURB_HUMAN	right shift
NIBA2_HUMAN	right shift
PARK7_HUMAN	right shift
VMAT1_HUMAN	right shift
POPD1_HUMAN	right shift
DNJC7_HUMAN	right shift
CHP1_HUMAN	right shift
MIPEP_HUMAN	right shift
SH3G1_HUMAN	right shift
DDX50_HUMAN	right shift
ERP44_HUMAN	right shift
SPEB_HUMAN	right shift
UBAC1_HUMAN	right shift
TMM43_HUMAN	right shift
DHRS4_HUMAN	right shift
HTAI2_HUMAN	right shift
MTNA_HUMAN	right shift
NTM1A_HUMAN	right shift
GNL3_HUMAN	right shift
HINT2_HUMAN	right shift
GON7_HUMAN	right shift
HDHD5_HUMAN	right shift
MAK16_HUMAN	right shift
ITPA_HUMAN	right shift
NEUL_HUMAN	right shift
FRMD8_HUMAN	right shift
NOG1_HUMAN	right shift
WDR12_HUMAN	right shift
REXO4_HUMAN	right shift
TOLIP_HUMAN	right shift
DDX47_HUMAN	right shift
TSYL1_HUMAN	right shift
I2BPL_HUMAN	right shift
VPS16_HUMAN	right shift
SLK_HUMAN	right shift
IPYR2_HUMAN	right shift
MUC13_HUMAN	right shift
FN3K_HUMAN	right shift
OFUT1_HUMAN	right shift
CIA2A_HUMAN	right shift
RPF2_HUMAN	right shift
PGES2_HUMAN	right shift
UBE2Z_HUMAN	right shift
GORS2_HUMAN	right shift
LRC40_HUMAN	right shift
I20L2_HUMAN	right shift
NMNA1_HUMAN	right shift
MYG1_HUMAN	right shift
MRM3_HUMAN	right shift
NOP10_HUMAN	right shift
OSGEP_HUMAN	right shift
BRD7_HUMAN	right shift
ACO13_HUMAN	right shift
RPR1B_HUMAN	right shift
